Pregunta,Respuesta,Categoría,Ruta
¿Cómo personalizo los colores de mi tienda?,"Para personalizar los colores de tu tienda: 1) Ve a Ajustes, 2) Selecciona 'Personalizar tienda', 3) Elige la sección que quieres modificar (Cabeza/Header, Cuerpo/Main o Pie de página/Footer), 4) Selecciona el color deseado del selector, 5) Haz clic en 'Guardar'. Los cambios se aplicarán inmediatamente a tu tienda.",Personalización,/customize_store
¿Cómo agrego el logo a mi tienda?,"Para agregar o cambiar tu logo: 1) Ve a Ajustes, 2) Selecciona 'Añadir/Cambiar foto de perfil', 3) Sube la imagen de tu logo, 4) Guarda los cambios. Tu logo aparecerá en el header de todas las páginas de tu tienda.",Personalización,/profile_picture
¿Qué enlace debo compartir con mis clientes para que entren a mi ecommerce?,"Tu tienda tiene una URL personalizada con el formato: tolo.com.uy/nombre-de-tu-tienda. Este es el enlace que debes compartir con tus clientes. Lo puedes encontrar después de configurar tu tienda en el panel de control.",General,/ecommerce_dashboard
¿Cómo creo mi primera tienda en Tolo?,"Para crear tu tienda: 1) Regístrate en /register como e-commerce, 2) Inicia sesión en /login, 3) Accede a tu panel de control, 4) Sube tu logo en 'Añadir/Cambiar foto de perfil', 5) Personaliza los colores en 'Personalizar tienda', 6) Agrega productos en 'Crear productos', 7) Comparte tu link con clientes.",Inicio,/register
¿Cómo agrego productos a mi tienda?,"Para agregar productos: 1) Ve a tu Panel de Control (/ecommerce_dashboard), 2) Selecciona 'Crear Productos', 3) Completa la información: nombre, descripción, precio, categoría e imágenes, 4) Guarda el producto. Aparecerá inmediatamente en tu catálogo.",Productos,/create_product
¿Cómo edito o elimino productos existentes?,"Para gestionar tus productos: 1) Ve a 'Administrar Productos' (/product_crud), 2) Busca el producto que quieres modificar, 3) Puedes editarlo (cambiar precio, descripción, imágenes) o eliminarlo del catálogo, 4) Guarda los cambios.",Productos,/product_crud
¿Dónde veo mis ventas y estadísticas?,"En tu Panel de Control (/ecommerce_dashboard) encontrarás toda la información sobre ventas, inventario y estadísticas generales de tu tienda. Es tu centro de operaciones principal.",Ventas,/ecommerce_dashboard
¿Cómo cambio mi contraseña?,"Para cambiar tu contraseña: 1) Ve a Ajustes (/settings), 2) Haz clic en 'Perfil', 3) Selecciona 'Cambiar contraseña', 4) Ingresa tu contraseña actual y la nueva, 5) Confirma los cambios.",Cuenta,/change_password
¿Cómo cambio el nombre de mi tienda?,"Para cambiar el nombre de tu tienda: 1) Ve a Ajustes, 2) Haz clic en 'Perfil', 3) Selecciona 'Cambiar nombre de la tienda', 4) Ingresa el nuevo nombre, 5) Guarda. Nota: esto también cambiará tu URL personalizada.",Cuenta,/change_ecommerce
¿Cómo cambio mi nombre de usuario?,"Para cambiar tu nombre de usuario: 1) Ve a Ajustes, 2) Haz clic en 'Perfil', 3) Selecciona 'Cambiar nombre de usuario', 4) Ingresa el nuevo nombre, 5) Guarda los cambios.",Cuenta,/change_user
